Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
Anton Strålman,26,NYR,D,48,4,3,7,14,16,4,0,0,0,3,0,0,66,6.1,149,866:18,18:03,0,1,0.0,42,75,8,19,
Chris Tanev,23,VAN,D,38,2,5,7,4,10,2,0,0,1,5,0,0,20,10.0,58,656:59,17:17,0,0,,61,14,13,14,
Tomáš Tatar,22,DET,C,18,4,3,7,2,4,3,1,0,0,3,0,0,32,12.5,57,204:44,11:22,1,0,100.0,5,9,5,2,
Shawn Thornton,35,BOS,RW,45,3,4,7,1,60,3,0,0,0,4,0,0,55,5.5,98,364:46,8:06,7,10,41.2,13,77,11,3,
Marc-Édouard Vlasic,25,SJS,D,48,3,4,7,5,29,3,0,0,0,4,0,0,59,5.1,138,999:35,20:49,0,0,,81,27,10,34,
Mike Weber,25,BUF,D,42,1,6,7,3,70,1,0,0,0,5,0,1,25,4.0,59,771:16,18:22,0,0,,92,122,5,25,
John Moore,22,2TM,D,30,1,6,7,4,7,1,0,0,0,6,0,0,29,3.4,67,399:49,13:20,0,0,,32,38,3,4,
John Moore,22,CBJ,D,17,0,1,1,-5,2,0,0,0,0,1,0,0,14,0.0,38,246:46,14:31,0,0,,14,18,1,2,
John Moore,22,NYR,D,13,1,5,6,9,5,1,0,0,0,5,0,0,15,6.7,29,153:03,11:46,0,0,,18,20,2,2,
David Steckel,30,2TM,C,34,1,6,7,0,4,1,0,0,0,6,0,0,23,4.3,38,315:01,9:16,175,146,54.5,21,41,6,5,
David Steckel,30,TOR,C,13,0,1,1,-2,0,0,0,0,0,1,0,0,4,0.0,9,91:54,7:04,38,43,46.9,10,11,0,4,
David Steckel,30,ANA,C,21,1,5,6,2,4,1,0,0,0,5,0,0,19,5.3,29,223:07,10:37,137,103,57.1,11,30,6,1,
Wade Redden,35,2TM,D,29,3,4,7,-2,11,3,0,0,0,3,1,0,28,10.7,68,437:08,15:04,0,0,,30,16,7,5,
